Latitude,Longitude,Apparel,Books,Electronics,Grocery
30.45328986,76.39458536,6.83,4.34,0.77,14.58
26.301717,80.1334022,15.48,9.89,0.93,1.38
10.4829706,76.3846878,1.21,8.26,0.57,12.96
26.301717,80.13,3.04,9.54,0.53,15.58
31.022162,76.724332,6.74,0.21,14.4,1.14
30.759138,76.662737,6.48,4.1,0.3,18.21
30.562401,77.344109,3.51,19.53,0.43,8.64
29.93332592,77.78865362,0.89,8.9,3.22,18.97
29.238083,76.975217,4.15,0.69,18.26,8.22
28.711732,77.16677,5.75,14.91,0.9,3.58
28.6167336,77.421974,0.86,10.83,5.48,2.38
28.531429,77.152533,9.19,0.77,1.16,18.38
28.4779562,77.0193988,0.91,2.2,17.67,9.15
28.44424,77.00908,10.76,0.41,2.1,6.12
28.3734102,77.3258476,2.64,0.42,6.2,10.34
28.045112,73.353185,6.24,0.5,3.74,19.61
27.73921807,75.78626141,3.35,11.99,0.41,7.68
27.54430487,78.51567867,8.76,13.69,0.4,2.67
26.928,75.748,0.39,3.9,6.09,17.43
26.87583,84.00567,13.59,7.41,4.04,0.54
26.84438,80.99371,1.88,9.36,0.75,12.28
26.835245,75.762384,1.02,6.78,0.73,13.47
26.5351132,80.5822758,8.26,3.56,0.59,19.48
26.52348,80.234598,2.1,0.59,5.25,14.33
26.51284,80.234894,16.18,9.99,0.11,2.2
26.51284,80.234894,0.34,16.41,1.12,6.46
26.51284,80.234894,17.72,8.04,0.77,3.18
26.51268,80.19654,10.99,0.25,2.07,7.07
26.51268,80.19655,8.36,3.76,0.51,18.68
26.51234485,80.23197123,14.06,8.61,1.51,0.14
26.506393,80.228113,0.65,8.47,2.56,16.97
26.50534147,80.22620497,9.62,0.56,2.73,18.06
26.5050989,80.2275785,3.13,9.44,0.26,17.33
26.504971,80.234385,1.71,18.83,6.74,0.62
26.50485,80.23493,0.85,1.78,17.41,7.65
26.50473,80.22675,3.08,12.41,0.48,6.55
26.50473,80.22675,9.77,1.07,0.63,14.27
26.504646,80.226645,0.2,7.15,1.57,17.25
26.504635,80.226576,0.41,8.11,4.96,16.72
26.504634,80.226675,1.27,17.46,5.75,0.62
26.50458,80.22616,2.09,9.6,0.89,19.05
26.504414,80.2265755,2.26,9.3,0.2,14.24
26.504384,80.226619,4.92,5.15,0.2,10.41
26.50432,80.226542,18.41,0.45,2.93,7.42
26.483457,74.644607,10.5,0.24,1.05,8.03
26.436667,80.362778,2.76,10.65,0.8,6.42
26.4272694,80.3977172,1.58,5.37,0.93,12.82
26.30172283,80.13362783,4.49,6.61,0.29,13.31
26.3015916,80.1334598,0.8,8.93,2.3,14.82
26.28,74.38,8.53,0.59,3.56,17.77
26.168043,91.778177,6.95,19.12,0.81,2.92
25.2138,75.8648,3.23,18.68,0.61,9.43
24.56596,73.72895,1.69,18.2,0.61,9.88
24.21971,83.043394,1.74,0.4,5.26,12.04
23.688061,86.159503,6.42,17.15,0.33,4.58
23.527395,80.84029,0.67,7.9,18.02,3.03
22.733889,75.886944,9.88,0.15,2.66,18.96
22.65952,88.32818,0.55,13.67,3.2,8.43
22.5435,88.3797,0.29,17.67,9.75,4.62
22.3110021,88.205502,1.01,0.77,5.71,15.24
22.24139898,84.80699569,16.36,2.19,0.71,7.23
21.473522,83.977053,12.28,0.45,4.98,9.06
21.1848703,79.08888207,0.71,19.56,1.95,6.2
20.754678,78.606856,7.39,0.61,2.68,17.09
18.62367,73.78216,7.74,2.49,0.78,15.73
18.5732503,73.8990865,15.6,0.11,5.46,3.27
18.5324,73.9441,10.48,0.66,4.88,6.71
17.6851,83.2035,5.22,0.16,16.51,2.92
17.47058238,78.36697033,0.16,7.72,4.95,16.49
17.41409,78.51293,4.42,0.8,15.09,8.05
17.23385595,78.30173105,0.96,2.45,10.84,8.95
17.019333,81.800649,0.53,8.29,2.32,18.89
16.92417,74.61254,0.43,16.34,3.8,6.17
14.527368,80.087538,4.16,18.14,0.27,9.23
13.0208,80.224,3.22,8.3,0.4,17.63
10.07873024,78.67041727,2.7,0.4,9.43,11.25
8.469167,76.946111,0.66,7.51,3.08,10.02
17.7121,83.3121,0.48,18.61,7.6,3.54
19.1441,83.4857,0.6,19.4,9.08,3.6
